"","team","season","player","notes","player_on.roster","team_option","caphold","shamsports_salary_url","scrape_date","table_name"
"1","Atlanta Hawks","2014-2015","Elton Brand","120% of previous salary",FALSE,TRUE,4800000,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"2","Atlanta Hawks","2014-2015","Gustavo Ayon","190% of previous salary",FALSE,TRUE,2850000,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"3","Atlanta Hawks","2014-2015","Shelvin Mack","QO - cap hold to be $915,243 (two year veteran's minimum) if no QO offered",FALSE,TRUE,1148163,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"4","Atlanta Hawks","2014-2015","Mike Scott","QO - cap hold to be $915,243 (two year veteran's minimum) if no QO offered",FALSE,TRUE,1115243,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"5","Atlanta Hawks","2014-2015","Cartier Martin","Two year veteran's minimum",FALSE,TRUE,915243,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"6","Atlanta Hawks","2015-2016","Paul Millsap","130% of previous salary",TRUE,TRUE,12350000,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"7","Atlanta Hawks","2015-2016","DeMarre Carroll","130% of previous salary",TRUE,TRUE,3175192,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"8","Atlanta Hawks","2015-2016","John Jenkins","What his contract would have been were his fourth year option exercised",TRUE,FALSE,2228025,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"9","Atlanta Hawks","2015-2016","Dennis Schroeder","What his contract would have been were his third year option exercised",TRUE,FALSE,1763400,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"10","Atlanta Hawks","2015-2016","Pero Antic","130% of previous salary",TRUE,TRUE,1625000,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"11","Atlanta Hawks","2015-2016","Elton Brand","120% of previous salary",FALSE,TRUE,4800000,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"12","Atlanta Hawks","2015-2016","Gustavo Ayon","190% of previous salary",FALSE,TRUE,2850000,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"13","Atlanta Hawks","2015-2016","Shelvin Mack","QO - cap hold to be $915,243 (two year veteran's minimum) if no QO offered",FALSE,TRUE,1181348,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"14","Atlanta Hawks","2015-2016","Mike Scott","QO - cap hold to be $915,243 (two year veteran's minimum) if no QO offered",FALSE,TRUE,1147276,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"15","Atlanta Hawks","2015-2016","Cartier Martin","Two year veteran's minimum",FALSE,TRUE,947276,"http://data.shamsports.com/content/pages/data/salaries/hawks.jsp",2014-10-02,"cap_holds"
"16","Boston Celtics","2014-2015","Nenad Krstic","150% of previous salary",FALSE,TRUE,8314674,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"17","Boston Celtics","2014-2015","Jerryd Bayless","130% of previous salary",FALSE,TRUE,4075500,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"18","Boston Celtics","2014-2015","Roshown McLeod","190% of previous salary",FALSE,TRUE,3772503,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"19","Boston Celtics","2014-2015","Stephon Marbury","120% of previous salary",FALSE,TRUE,1440000,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"20","Boston Celtics","2014-2015","Carlos Arroyo","Two year veteran's minimum",FALSE,TRUE,915243,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"21","Boston Celtics","2014-2015","Dana Barros","Two year veteran's minimum",FALSE,TRUE,915243,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"22","Boston Celtics","2014-2015","P.J. Brown","Two year veteran's minimum",FALSE,TRUE,915243,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"23","Boston Celtics","2014-2015","Mark Bryant","Two year veteran's minimum",FALSE,TRUE,915243,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"24","Boston Celtics","2014-2015","Michael Finley","Two year veteran's minimum",FALSE,TRUE,915243,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"25","Boston Celtics","2014-2015","Grant Long","Two year veteran's minimum",FALSE,TRUE,915243,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"26","Boston Celtics","2014-2015","Michael Olowokandi","Two year veteran's minimum",FALSE,TRUE,915243,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
"27","Boston Celtics","2014-2015","Shaquille O'Neal","Two year veteran's minimum",FALSE,TRUE,915243,"http://data.shamsports.com/content/pages/data/salaries/celtics.jsp",2014-10-02,"cap_holds"
